ночью, 0.834469199180603, самовар, 0.8357152342796326, 0.001246035099029541
кофе, 0.850730299949646, пить, 0.8605016469955444, 0.009771347045898438
чаю, 0.8394728899002075, водку, 0.8496487140655518, 0.010175824165344238
смирно, 0.83648681640625, бутылку, 0.8468043804168701, 0.010317564010620117
обедать, 0.844073474407196, водки, 0.8546590805053711, 0.010585606098175049
утром, 0.8415809273719788, сахару, 0.8527696132659912, 0.011188685894012451
пить, 0.854966402053833, спать, 0.8705617189407349, 0.015595316886901855
гулять, 0.8718592524528503, чаю, 0.9032316207885742, 0.03137236833572388
водку, 0.8592203259468079, кофе, 0.8949415683746338, 0.03572124242782593
спать, 0.8633210062980652, гулять, 0.899468183517456, 0.03614717721939087
