window = 2				window = 6				разница
стаканом, 0.8712033033370972, 		пива, 0.8611066341400146,		0.01009666919708252
чашку, 0.8690729737281799, 		шампанского, 0.8558313846588135, 	0.013241589069366455
стакана, 0.8762446641921997, 		чашку, 0.8628399968147278, 		0.013404667377471924
чаю, 0.8574334979057312, 		чай, 0.8437238335609436, 		0.013709664344787598
выпил, 0.8550990223884583, 		стакана, 0.8399918079376221, 		0.015107214450836182
самовар, 0.8682741522789001, 		закуски, 0.8528916239738464, 		0.015382528305053711
водку, 0.8809196352958679, 		закуску, 0.8635475635528564, 		0.017372071743011475
чай, 0.8666766285896301, 		вареньем, 0.8480124473571777, 		0.018664181232452393
пива, 0.8550013899803162, 		бутылку, 0.8319982886314392, 		0.023003101348876953
шампанского, 0.9316311478614807, 	чаю, 0.8840121030807495, 		0.0476190447807312
